Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2024-01-02,14959,14977.5,14432.4,14515.6,3438.4331543104
2024-01-03,14441.6,14497,14035.1,14349.2,4578.0838031895
2024-01-04,14460.1,14737.4,14146,14247.6,4499.0766831818
2024-01-05,14035.1,14035.1,13785.5,13942.7,4314.0052102868
2024-01-08,13878,13961.1,13767.1,13859.4,4651.6794766213
2024-01-09,13998.1,14293.8,13942.7,14229.1,14376.048973467
2024-01-10,14413.9,14737.4,14238.4,14654.1,7734.0394462393
2024-01-11,14718.9,15097.6,14617.1,14783.6,5956.9203907222
2024-01-12,14903.6,15199.2,14709.6,14838.9,7787.0716226828
2024-01-15,14838.9,14968.3,14275.2,14321.5,2373.4604681784
2024-01-16,14183,14413.9,13951.9,14210.7,2784.7304079448
2024-01-17,14072,14127.4,13859.4,14007.3,6162.5553606054
2024-01-18,14155.2,14469.3,13859.4,13961.1,3889.7477987383
2024-01-19,14127.4,14330.7,14035.1,14053.6,4296.688581244
2024-01-22,14192.2,14275.2,14062.8,14099.8,5029.3984476174
2024-01-23,14183,14219.9,13878,13924.2,6767.5550877881
2024-01-24,13998.1,14293.8,13850.2,13979.6,9263.3142485813
2024-01-25,13979.6,14081.3,13804,13859.4,8555.497036457
2024-01-26,13776.3,14025.9,13711.7,13850.2,10092.347864005
2024-01-29,13850.2,14025.9,13490,13674.8,5109.4878569404
2024-01-30,13684,14303,13674.8,14293.8,6003.4588312747
2024-01-31,14164.4,14487.8,14062.8,14386.1,9998.188693585
2024-02-01,14238.4,14755.8,14118.2,14580.1,6759.979062582
2024-02-02,14552.4,15014.5,14515.6,14792.8,6618.1991622941
2024-02-05,14792.8,14894.4,14219.9,14358.5,5689.5949298741
2024-02-06,14321.5,14718.9,14090.5,14561.7,6963.4494538348
2024-02-07,14644.9,15134.5,14598.6,14996,11751.497384168
2024-02-08,15060.7,15217.7,14728.1,14885.1,11409.493960573
2024-02-09,14959,15079.1,14700.4,14838.9,2100.7235607544
2024-02-12,14922,15217.7,14737.4,15106.8,2328.0043169411
2024-02-13,15106.8,15116.1,14533.9,14783.6,7923.4400763949
2024-02-14,14746.6,14866.6,14349.2,14524.7,4114.8639762946
2024-02-15,14644.9,14681.9,14506.3,14654.1,2466.5373492835
2024-02-16,14691.1,15042.3,14691.1,14949.8,2540.1330227153
2024-02-19,14959,15689,14903.6,15661.2,11263.384903025
2024-02-20,15522.7,15957,15384.1,15827.5,5455.8204377962
2024-02-21,15938.4,16151,15578.2,15670.4,4613.7993505903
2024-02-22,16012.4,16834.7,15984.6,16742.2,11642.186163335
2024-02-23,16779.2,17093.4,16714.7,16816.2,6445.032871866
2024-02-26,16770,17536.9,16677.7,17463,11478.760476744
2024-02-27,17509.3,17509.3,17111.8,17379.8,5154.9440081777
2024-02-28,17370.6,17370.6,16520.5,16843.9,7217.7874429009
2024-02-29,17074.8,17139.6,16409.7,16576,5335.6863238119
2024-03-01,16742.2,16816.2,16317.2,16548.2,4506.6527083879
2024-03-04,16770,16936.4,16418.9,16520.5,8533.8512501534
2024-03-05,16354.2,16585.2,16215.6,16437.4,3891.9123773687
2024-03-06,16215.6,16455.8,16030.9,16261.8,5774.0134964577
2024-03-07,16030.9,16428.1,15938.4,16243.3,5587.8597342476
2024-03-08,16354.2,16446.7,15892.2,16317.2,5329.1925879208
2024-03-11,16169.5,16576,16104.8,16335.8,3374.5780847151
2024-03-12,16446.7,16677.7,16178.7,16631.4,7976.4722528385
2024-03-13,16631.4,16816.2,16409.7,16659.2,6228.5750088311
2024-03-14,16594.5,16714.7,16123.3,16474.2,8874.7723844335
2024-03-15,13212.6,14136.8,10080.6,10579.4,104450.65951821
2024-03-18,11457.3,14349.2,10902.8,12750.8,83117.654826796
2024-03-19,13092.6,13305.1,12104,12427.4,22719.41730415
2024-03-20,12482.8,13083.4,12482.8,12686.1,12897.641768938
2024-03-21,13083.4,13148,12750.8,13064.9,10042.562555507
2024-03-22,13120.4,13434.5,12760,12824.7,10090.183285375
2024-03-25,12843.3,12981.7,12492,12621.3,7066.2669387764
2024-03-26,12750.8,13351.4,12686.1,13027.9,10589.11865967
2024-03-27,13286.6,14090.5,13101.8,13924.2,11814.270164449
2024-03-28,14136.8,14654.1,13998.1,14136.8,10134.557147297
2024-04-02,14303,14543.1,14025.9,14025.9,4692.806470598
2024-04-03,14090.5,14293.8,13813.3,13831.8,5908.2173715393
2024-04-04,13767.1,14099.8,13508.4,14044.3,5908.2173715393
2024-04-05,13887.2,13896.4,13647.1,13822.5,5163.6023226991
2024-04-08,13887.2,14229.1,13841,14173.7,4112.6993976643
2024-04-09,14229.1,14349.2,13924.2,13961.1,3453.5852047229
2024-04-10,14109,14561.7,14044.3,14413.9,6166.8845178662
2024-04-11,14478.6,14598.6,14303,14589.4,2991.4476671432
2024-04-12,14617.1,15032.9,14617.1,14709.6,4884.371679384
2024-04-15,14737.4,14959,14506.3,14626.4,3744.7210305049
2024-04-16,14497,14672.7,13933.4,14072,4839.9978174618
2024-04-17,14044.3,14358.5,13942.7,14016.6,3894.076955999
2024-04-18,14072,14413.9,13970.3,14404.7,3822.6458611975
2024-04-19,14229.1,14321.5,14099.8,14155.2,3026.0809252288
2024-04-22,14503.4,15030.5,14409.3,15030.5,4020.5324307214
2024-04-23,15096.3,15152.8,14437.6,14447,4613.412213053
2024-04-24,14494,14644.6,14315.2,14315.2,4509.2863731453
2024-04-25,14456.4,14494,13948.1,14164.6,4564.5368188106
2024-04-26,14305.8,14729.2,14286.9,14635.2,3098.274991539
