Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2024-01-02,61.2,62.7,58.9,59.2,216955
2024-01-03,59,59.2,55.14,57.26,669743
2024-01-04,57.26,58.2,56.52,57.2,200060
2024-01-05,56.5,58.6,54.6,57.88,360883
2024-01-08,57.88,58.6,57.16,57.92,152807
2024-01-09,58.62,60.9,58.62,60.4,251141
2024-01-10,60.5,65,60.02,63.88,383330
2024-01-11,64,65.34,61.64,62.5,318663
2024-01-12,62.52,64.9,62.5,63.78,237416
2024-01-15,63.98,64.2,60.3,60.42,173806
2024-01-16,60,60.82,58.7,60.82,201820
2024-01-17,60,60.28,58.34,58.42,244280
2024-01-18,59,59.8,57.5,57.72,223293
2024-01-19,58.3,60.08,57.62,58,314041
2024-01-22,58.92,59.1,57.6,58,127784
2024-01-23,58.2,59.1,57.52,58.36,174867
2024-01-24,58.5,59.1,57.02,58,201002
2024-01-25,57.5,58.48,57.1,57.78,94750
2024-01-26,57.86,57.98,57.3,57.64,59994
2024-01-29,57.5,57.64,56.14,56.94,124856
2024-01-30,56.66,58,56.66,57.4,127261
2024-01-31,57.5,59.4,57.04,58.32,183739
2024-02-01,58.2,60.2,57.94,59.14,393195
2024-02-02,59.8,60.76,59.04,59.44,264425
2024-02-05,59.2,60.44,57,57,232283
2024-02-06,57.02,57.6,56.18,57.2,207584
2024-02-07,57.12,58.6,57,58.46,177977
2024-02-08,58.78,59.78,58.62,59.42,197604
2024-02-09,61.2,64.3,60.6,64.26,755300
2024-02-12,64.9,65,62.88,63.98,408553
2024-02-13,63.96,64.9,62.2,63,371294
2024-02-14,62.9,64.9,62.5,64.9,211730
2024-02-15,64.6,66,63.56,65.82,202780
2024-02-16,65.94,67.2,65.92,67.12,239253
2024-02-19,67.2,68.9,67,68.46,251680
2024-02-20,68,69,67.18,68.4,152084
2024-02-21,68.2,69.82,67.58,67.6,225196
2024-02-22,67.8,71.4,67.24,71.3,462098
