Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2024-01-02,25.518,25.615,24.5283,24.7612,674162.74957879
2024-01-03,24.7806,24.9358,23.4028,23.9073,1165656.9807624
2024-01-04,23.6938,24.1984,23.2087,23.4028,1039061.762027
2024-01-05,23.1893,23.7327,22.5102,23.5775,1152026.6938823
2024-01-08,23.2864,23.9656,23.0729,23.4999,1176975.5297619
2024-01-09,24.0432,24.1984,23.4805,23.5775,493340.11729343
2024-01-10,23.5775,23.7521,23.364,23.4805,891270.28771687
2024-01-11,23.4999,24.3925,23.4999,23.8103,840195.61878436
2024-01-12,23.8297,24.4119,23.3834,23.4028,1248277.647489
2024-01-15,23.4028,24.0044,22.9759,23.6551,616021.97502433
2024-01-16,23.2864,23.5581,22.5684,22.6848,1041691.9693706
2024-01-17,22.5102,22.7431,21.3458,22.0833,1579503.4098089
2024-01-18,22.4131,23.267,22.3549,22.5684,1208730.7485947
2024-01-19,22.7237,22.9564,22.0251,22.5296,1093709.6789455
2024-01-22,22.6072,22.937,21.6369,21.8892,575409.38867181
2024-01-23,21.8504,21.8504,20.9383,21.3265,702146.83648765
2024-01-24,21.2683,21.7922,20.9577,21.4622,1112861.1338269
2024-01-25,21.4622,21.5787,20.9966,20.9966,458981.48790036
2024-01-26,20.9577,21.1906,20.7637,20.9383,514404.45024288
2024-01-29,20.9577,21.1518,20.5115,20.8025,486716.15859561
2024-01-30,20.8025,21.5011,20.7831,21.0548,717146.85125163
2024-01-31,20.9383,21.5593,20.7637,21.3458,476511.73739332
2024-02-01,21.1518,22.1802,21.1324,21.734,1456502.0519697
2024-02-02,22.0833,22.6072,21.6757,22.1414,1380019.9099053
2024-02-05,22.2967,22.5296,21.3652,21.4234,1005101.9924467
2024-02-06,21.5011,21.8116,21.0936,21.4234,668370.52180817
2024-02-07,21.4817,22.0251,21.4234,21.831,761758.342186
2024-02-08,21.9086,22.122,21.6369,21.7145,642920.79221033
2024-02-09,21.7922,22.0445,21.6175,21.7534,358445.11025972
2024-02-12,21.8116,22.3937,21.6757,22.1027,661618.76306701
2024-02-13,22.2385,22.2579,19.9875,19.9875,3304951.3771727
2024-02-14,20.2592,20.7054,19.9098,20.7054,1998319.6115084
2024-02-15,21.016,21.1324,20.589,20.9966,652747.99715568
